Sensor,Z (m),S(m/s),Sigma_u(m/s),TI_u,Sigma_v(m/s),TI_v,Sigma_w(m/s),TI_w,uv(m^2/s^2),uw(m^2/s^2),vw(m^2/s^2),tke(m^2/s^2)
AES tilted gill uvw,10,8.89,1.327,0.149,0.859,0.096,0.643,0.072,-0.014,-0.291,0.009,1.4561295
AES tilted gill uvw,20,10.10,1.212,0.121,0.764,0.076,0.597,0.059,-0.011,-0.289,-0.005,1.2045245
AES tilted gill uvw,30,10.60,1.167,0.111,0.81,0.077,0.65,0.061,-0.047,-0.31,0.008,1.2202445
AES tilted gill uvw,40,11.20,1.123,0.101,0.776,0.069,0.593,0.053,-0.003,-0.296,-0.027,1.107477
AES cups,3,7.1,1.42,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,5,7.86,1.37,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,8,8.44,1.42,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,15,9.35,1.27,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,24,10.19,1.23,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,34,10.84,1.16,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES cups,49,11.96,1.16,-999,-999,-999,-999,-999,-999,-999,-999,-999
AES sonic,47,11.66,1.166,0.1,0.796,0.068,0.71,0.06,-0.027,-0.307,0.017,1.248636
BRE tala kite,30,11.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BRE tala kite,48,12.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BRE tala kite,70,13.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BRE tala kite,116,15.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BRE tala kite,178,16.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BRE tala kite,267,18.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
