Name,Sensor,X(m),Y(m),Z(m),H(m)
RS,FRG cup,74300,20980,4.75,10
ANE10,FRG cup,75454,23812,107.79,10
ANE20,FRG cup,75523,23884,84.30,10
ANE40,FRG cup,75661,24017,41.26,10
ASW10,FRG cup,75319,23667,108.99,10
ASW20,FRG cup,75257,23604,75.46,10
ASW35,FRG cup,75162,23498,34.86,10
ASW50,FRG cup,75050,23378,11.46,10
ASW85,FRG cup,74813,23122,10.73,10
AASW 90,FRG cup,75069,22820,12.35,10
AASW80,FRG cup,75140,22895,14.00,10
AASW70,FRG cup,75208,22968,11.48,10
AASW60,FRG cup,75274,23038,10.31,10
AASW50,FRG cup,75341,23107,12.10,10
AASW50,FRG gill uvw,75352,23100,12.36,10
AASW40,FRG cup,75417,23174,26.46,10
AASW30,FRG gill uvw,75493,23244,53.70,10
AASW30,FRG cup,75483,23253,54.24,10
AASW20,FRG cup,75553,23320,80.42,10
AASW10,FRG gill uvw,75623,23388,103.22,10
AASW10,FRG cup,75613,23396,103.27,10
CP (FRG_mf),FRG cup,75676,23466,115.48,10
CP (FRG_t),FRG gill uvw,75676,23466,115.48,10
AANE10,FRG cup,75746,23540,108.64,10
AANE20,FRG cup,75807,23610,84.26,10
AANE30,FRG cup,75871,23675,63.55,10
AANE40,FRG cup,75938,23745,41.52,10
AANE50,FRG cup,76006,23813,30.29,10
AANE60,FRG cup,76073,23886,29.20,10
BNW20,AES cup,75243,23875,114.03,10
BNW10,AES cup,75313,23810,123.15,10
HT 10m MF,AES cup,75387,23735,124.61,10
HT (10m_t),AES cup,75381,23745,124.98,10
BSE10,AES cup,75458,23671,121.81,10
BSE20,AES cup,75528,23603,119.88,10
BSE30,AES cup,75606,23535,118.52,10
CP (FRG_mf),FRG cup,75680,23465,115.53,10
BSE50,AES cup,75754,23397,110.97,10
BSE60,AES cup,75833,23324,106.45,10
BSE70,AES cup,75905,23260,95.09,10
BSE80,AES cup,75982,23193,83.26,10
BSE90,AES cup,76046,23130,72.46,10
BSE100,AES cup,76120,23063,58.61,10
BSE110,AES cup,76195,22997,49.29,10
BSE 130,AES cup,76338,22860,34.52,10
BSE150,AES cup,76490,22723,34.68,10
BSE170,AES cup,76636,22585,38.00,10
